csf	constant	linearTrend	pc1	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
1.229511844852665126e+04	1.000000000000000000e+00	1.000000000000000000e+01	-1.274827731372382977e-01	9.367010003456587583e+03	9.921651758171476104e+03	8.019999999999999352e-02	-5.210000000000000048e-02	-1.293999999999999873e-01	8.989999999999999380e-02	-5.240000000000000213e-02	-1.880000000000000074e-02	1.054438133654954618e+04	5.060063793803967758e-02	-8.791690433901930279e-02	8.077688814393965688e-02	6.598076275547939962e-03	-1.563682389136117901e-01
1.226899278282188425e+04	1.000000000000000000e+00	1.100000000000000000e+01	-1.188832904787095329e-01	9.369687636504624606e+03	9.917656502064744927e+03	9.500000000000000111e-02	-5.390000000000000346e-02	-1.218000000000000055e-01	1.067000000000000032e-01	-5.129999999999999838e-02	-3.599999999999999728e-02	1.055154646474671426e+04	1.007990452101989870e-01	9.320365786486643767e-02	3.026027595892693753e-02	-1.051321974860948277e-01	4.407716902418187810e-02
1.227125582125093933e+04	1.000000000000000000e+00	1.200000000000000000e+01	-1.469653439223530811e-01	9.374495311811740976e+03	9.935928532606074441e+03	9.619999999999999385e-02	-6.439999999999999891e-02	-1.048000000000000043e-01	1.343999999999999917e-01	-5.279999999999999971e-02	-3.459999999999999881e-02	1.058780487521049508e+04	6.302170310965170275e-02	-3.702287854849971305e-02	-2.158364686029662707e-02	9.348948216328349659e-02	4.105990383656753923e-02
1.226176392408033098e+04	1.000000000000000000e+00	1.300000000000000000e+01	-1.381165519819842757e-01	9.365160175368295313e+03	9.947698216956128817e+03	9.619999999999999385e-02	-4.630000000000000088e-02	-1.096000000000000030e-01	1.141999999999999960e-01	-3.880000000000000115e-02	-3.280000000000000276e-02	1.060281913872164660e+04	-4.549619282926359309e-02	-3.255920294803336251e-02	1.118065357936516013e-01	7.472800708968180272e-02	2.106075133136286678e-02
1.229780568752346153e+04	1.000000000000000000e+00	1.400000000000000000e+01	-1.026956893442365071e-01	9.362869594493318800e+03	9.951028801312719224e+03	9.439999999999999780e-02	-4.780000000000000221e-02	-8.630000000000000171e-02	1.087999999999999939e-01	-2.469999999999999973e-02	-2.290000000000000022e-02	1.060531437136936074e+04	-5.270080576924769666e-02	2.133417864412356924e-02	4.578118027763203313e-02	-3.786537247688900182e-02	1.155452935705533341e-01
1.230878348172391088e+04	1.000000000000000000e+00	1.500000000000000000e+01	-8.658189776469626953e-02	9.373217986415304040e+03	9.960922986161598601e+03	1.028000000000000025e-01	-4.639999999999999680e-02	-8.880000000000000393e-02	1.212000000000000022e-01	-4.569999999999999757e-02	-4.070000000000000007e-02	1.061191975773031663e+04	-4.549989157029257769e-02	9.935070588020183946e-02	-4.644874225100306675e-02	-8.675905843260728334e-02	1.073699690425763131e-01
1.231153409170889609e+04	1.000000000000000000e+00	1.600000000000000000e+01	-1.091849899866933621e-01	9.373108458851311298e+03	9.975759069908195670e+03	1.040999999999999981e-01	-4.689999999999999725e-02	-8.110000000000000542e-02	1.233999999999999958e-01	-3.289999999999999869e-02	-3.749999999999999861e-02	1.063640818788119032e+04	-5.874732692000298601e-02	-1.002430503070073087e-02	-1.016766338672729225e-01	5.468246640903851041e-02	2.379627294569736096e-02
1.230232685224286797e+04	1.000000000000000000e+00	1.700000000000000000e+01	-1.250002423990524691e-01	9.372832800187818066e+03	9.969332455375431891e+03	1.016999999999999987e-01	-5.099999999999999672e-02	-7.929999999999999549e-02	1.242000000000000048e-01	-2.409999999999999989e-02	-4.059999999999999720e-02	1.063930677416865001e+04	-8.278669208619780784e-02	-1.122620053837667942e-01	8.404358445148607873e-03	1.181995201928659062e-01	3.049903428896739294e-02
1.230076218796921967e+04	1.000000000000000000e+00	1.800000000000000000e+01	-9.435582054314632650e-02	9.391865898544561787e+03	9.959312934145693362e+03	8.659999999999999643e-02	-4.379999999999999866e-02	-7.349999999999999589e-02	1.015999999999999959e-01	-2.220000000000000098e-02	-2.000000000000000042e-02	1.063108415263396455e+04	-8.471337135996262480e-02	-1.510706671430129405e-02	7.623528181475512644e-02	-1.085478670521101419e-01	-3.730923364058631470e-03
1.232509056224192864e+04	1.000000000000000000e+00	1.900000000000000000e+01	-8.678985714180999234e-02	9.374806173756240241e+03	9.952753451946126006e+03	8.500000000000000611e-02	-4.590000000000000330e-02	-6.119999999999999746e-02	1.096000000000000030e-01	-4.220000000000000140e-02	-3.030000000000000054e-02	1.061827446384972063e+04	2.189630059529366554e-02	2.991428365082782117e-03	-8.900627996928600627e-02	-9.083486755464556528e-02	7.161804295605339599e-02
